displayname,twitchurl,viewminutes,streamedminutes,maxviewers,avgviewers,milestonefollowers,rownum,followers,followersgained,viewsgained,followersgainedwhileplaying,partner,affiliate,mature,language,languageId,status,previousviewminutes,previousstreamedminutes,previousmaxviewers,previousavgviewers,previousfollowergain,previousviewsgained,gamesPlayed,id,url,baseOnly
MissMikkaa,https://www.twitch.tv/missmikkaa,16817055,3630,10659,4632,,117,458250,1912,0,0,True,False,False,English,0,Partner,15822075,3030,9923,5221,1657,0,,102835,missmikkaa,False
shanks_ttv,https://www.twitch.tv/shanks_ttv,16751505,3705,10345,4521,,118,584369,1283,0,0,True,False,True,English,0,Partner,9036810,2790,7738,3239,1025,0,,29692827,shanks_ttv,False
MarvelRivals,https://www.twitch.tv/marvelrivals,16711710,10020,12611,1667,,119,296550,6579,0,0,True,False,False,English,0,Partner,25791930,9960,14472,2589,13061,0,,69874173,marvelrivals,False
sasavot,https://www.twitch.tv/sasavot,16691745,1020,28357,16364,,120,954758,8067,0,0,True,False,False,Russian,0,Partner,16916040,765,39488,22112,8680,0,,13576138,sasavot,False
robcdee,https://www.twitch.tv/robcdee,16668660,4680,10446,3561,,121,336634,356,0,0,True,False,False,English,0,Partner,13260390,4335,4547,3058,259,0,,11640821,robcdee,False
Anyme023,https://www.twitch.tv/anyme023,16492320,1545,19618,10674,,122,349259,34788,0,0,True,False,False,French,0,Partner,14103315,1875,12474,7521,18334,0,,69810692,anyme023,False
Distortion2,https://www.twitch.tv/distortion2,16411980,3240,10387,5065,,123,670636,417,0,0,True,False,True,English,0,Partner,8125830,3570,4444,2276,-62,0,,242297,distortion2,False
BastiGHG,https://www.twitch.tv/bastighg,16396935,1980,14489,8281,,124,2120360,2103,0,0,True,False,False,German,0,Partner,21204420,2175,16326,9749,9317,0,,790314,bastighg,False
あっさりしょこー (assarisyoko1),https://www.twitch.tv/assarisyoko1,16322850,3015,9623,5413,,125,89320,2283,0,0,True,False,False,Japanese,0,Partner,15554415,2325,13252,6690,4706,0,,67513815,assarisyoko1,False
GronkhTV,https://www.twitch.tv/gronkhtv,16302000,10080,6238,1617,,126,610159,527,0,0,True,False,True,German,0,Partner,15707340,10080,7463,1558,556,0,,2516231,gronkhtv,False
ファン太 (fantasista_jp),https://www.twitch.tv/fantasista_jp,16242810,1485,27839,10937,,127,291999,184,0,0,True,False,False,Japanese,0,Partner,20906670,2055,18231,10173,171,0,,14167665,fantasista_jp,False
Leb1ga,https://www.twitch.tv/leb1ga,16145520,690,36814,23399,,128,524745,3417,0,0,True,False,False,Ukrainian,0,Partner,15551385,735,30795,21158,1952,0,,6189295,leb1ga,False
