displayname,twitchurl,viewminutes,streamedminutes,maxviewers,avgviewers,milestonefollowers,rownum,followers,followersgained,viewsgained,followersgainedwhileplaying,partner,affiliate,mature,language,languageId,status,previousviewminutes,previousstreamedminutes,previousmaxviewers,previousavgviewers,previousfollowergain,previousviewsgained,gamesPlayed,id,url,baseOnly,email,discord,twitter,youtube
deepins02,https://www.twitch.tv/deepins02,25390425,1410,25683,18007,,62,2464234,10918,0,0,True,False,False,Russian,0,Partner,20044650,1140,24807,17583,6953,0,,10269255,deepins02,False,,,,
Dmitry_Lixxx,https://www.twitch.tv/dmitry_lixxx,25217730,1665,39939,15145,,63,1646968,12032,0,0,True,False,False,Russian,0,Partner,23870160,1365,94531,17487,6158,0,,13060408,dmitry_lixxx,False,,,,
Locklear,https://www.twitch.tv/locklear,24711975,2625,19067,9414,,64,2329957,3557,0,0,True,False,False,French,0,Partner,23301075,2415,19474,9648,4266,0,,8110978,locklear,False,,,,
NoWay4u_Sir,https://www.twitch.tv/noway4u_sir,24675270,3105,13670,7946,,65,734228,328,0,0,True,False,False,German,0,Partner,30093960,3225,15118,9331,461,0,,27769,noway4u_sir,False,,,,
Trymacs,https://www.twitch.tv/trymacs,24504360,1935,43285,12663,,66,3732988,3001,0,0,True,False,False,German,0,Partner,24315270,2145,20368,11335,3522,0,,5021703,trymacs,False,,,,
elxokas,https://www.twitch.tv/elxokas,24502650,2355,18153,10404,,67,4250362,1637,0,0,True,False,False,Spanish,0,Partner,29573460,2670,22800,11076,2497,0,,10692216,elxokas,False,,,,
TcK10,https://www.twitch.tv/tck10,24132285,2655,27740,9089,,68,682149,1903,0,0,True,False,False,Portuguese,0,Partner,12744345,2295,21133,5553,-635,0,,27255852,tck10,False,,,,
shadowkekw,https://www.twitch.tv/shadowkekw,23871525,540,101308,44206,,69,800859,12863,0,0,True,False,False,Russian,0,Partner,13603395,675,28113,20153,2311,0,,29505158,shadowkekw,False,,,,
はんじょう (hanjoudesu),https://www.twitch.tv/hanjoudesu,23452530,3030,13956,7740,,70,355599,739,0,0,True,False,False,Japanese,0,Partner,42173700,3645,23404,11570,2536,0,,32814146,hanjoudesu,False,,,,
ironmouse,https://www.twitch.tv/ironmouse,23368080,3000,12194,7789,,71,2278374,2561,0,0,True,False,True,English,0,Partner,18801450,2535,11370,7416,2120,0,,17636776,ironmouse,False,,,,
